id,restaurantId,name,description,price,category,imageId
f464ba95f48f49eca8a62e36,593993d083e0431ea951cdd7,Plato 0,Descripción del plato 0,89.65,entrada,img100
70543af92f634508bc5b4455,593993d083e0431ea951cdd7,Plato 1,Descripción del plato 1,41.18,bebida,img101
643d49d07a49423da07d7d6a,593993d083e0431ea951cdd7,Plato 2,Descripción del plato 2,53.61,postre,img102
a9d7e43e992e404f83527cc1,593993d083e0431ea951cdd7,Plato 3,Descripción del plato 3,53.37,principal,img103
97e4f43e3d5a4ec78522dbc5,593993d083e0431ea951cdd7,Plato 4,Descripción del plato 4,47.16,acompañamiento,img104
3c63d5b57d6c4dc0b45900ea,3dc081fa6825497fa4e7ff0c,Plato 5,Descripción del plato 5,30.12,entrada,img105
6f43f9787be842e1a7ab8bd6,3dc081fa6825497fa4e7ff0c,Plato 6,Descripción del plato 6,60.54,bebida,img106
f1ff7feb4ce146c48ea62cf5,3dc081fa6825497fa4e7ff0c,Plato 7,Descripción del plato 7,36.13,postre,img107
9fd12e78ca5947a4b3cbc1d1,3dc081fa6825497fa4e7ff0c,Plato 8,Descripción del plato 8,71.83,principal,img108
8b5c9831e7ee4466983dbe32,3dc081fa6825497fa4e7ff0c,Plato 9,Descripción del plato 9,34.89,acompañamiento,img109
0ee2b12284144ad2aceb508c,012d072e27fe41ac99200dc7,Plato 10,Descripción del plato 10,52.08,entrada,img110
1e1f7667164c47ca9ce1ec23,012d072e27fe41ac99200dc7,Plato 11,Descripción del plato 11,61.38,bebida,img111
e7e03e3d1ab84b3c92ac1a28,012d072e27fe41ac99200dc7,Plato 12,Descripción del plato 12,93.38,postre,img112
23f86745f41442d7a82cbfed,012d072e27fe41ac99200dc7,Plato 13,Descripción del plato 13,36.49,principal,img113
8f47ffbb2dcc4988b7ae06ee,012d072e27fe41ac99200dc7,Plato 14,Descripción del plato 14,39.95,acompañamiento,img114
ab240d92e13f4e4cb33024d4,f014b48cb2ef4623b6b6f1ff,Plato 15,Descripción del plato 15,85.31,entrada,img115
fe030856d0ca40afbe418a65,f014b48cb2ef4623b6b6f1ff,Plato 16,Descripción del plato 16,31.49,bebida,img116
3cf7060dbb594444a6a2a4cf,f014b48cb2ef4623b6b6f1ff,Plato 17,Descripción del plato 17,93.78,postre,img117
97138b64116440ce8202016d,f014b48cb2ef4623b6b6f1ff,Plato 18,Descripción del plato 18,70.14,principal,img118
d11560d69a6f4a34be8174d3,f014b48cb2ef4623b6b6f1ff,Plato 19,Descripción del plato 19,48.57,acompañamiento,img119
dc3c2a6ea368458eba71088d,dcf994a7fb4241c680267d00,Plato 20,Descripción del plato 20,88.65,entrada,img120
e210f13e793a463fb28bde4b,dcf994a7fb4241c680267d00,Plato 21,Descripción del plato 21,83.82,bebida,img121
eab222d0e2ed4dc2bf4bd545,dcf994a7fb4241c680267d00,Plato 22,Descripción del plato 22,54.04,postre,img122
da3f484c32724fd8b64e3f8e,dcf994a7fb4241c680267d00,Plato 23,Descripción del plato 23,86.1,principal,img123
d87fdacd0f104564a471f32e,dcf994a7fb4241c680267d00,Plato 24,Descripción del plato 24,44.48,acompañamiento,img124
f081ff75c0be4c2eb7d921f0,d8fc3f8e20bd4448a13e75a4,Plato 25,Descripción del plato 25,72.62,entrada,img125
255952d97990447aa8eaef21,d8fc3f8e20bd4448a13e75a4,Plato 26,Descripción del plato 26,66.9,bebida,img126
7de2cab73da045728b45e9ac,d8fc3f8e20bd4448a13e75a4,Plato 27,Descripción del plato 27,86.65,postre,img127
c5dbe88aee34480c810beab4,d8fc3f8e20bd4448a13e75a4,Plato 28,Descripción del plato 28,52.07,principal,img128
af570317daf8465290dd642a,d8fc3f8e20bd4448a13e75a4,Plato 29,Descripción del plato 29,57.88,acompañamiento,img129
