_id,usuarioId,restauranteId,ordenId,calificacion,comentario,fecha
add5ea80-9d53-4464-a16b-cd6b9d382908,c9ccd840-970a-41aa-8cc1-c34dd43b517c,62dd6542-0044-4059-aa8b-b7bf6f017224,80369859-b504-4dab-8b2b-e2d74ea2b8d9,5,Comida deliciosa,2024-11-09T00:00:00
4e4bdef9-df55-432d-998b-fdab8ebc4f13,c9ccd840-970a-41aa-8cc1-c34dd43b517c,9cfc7b51-e39b-4539-94ca-a22ad0b0413b,dd8af992-de01-45db-817e-22f5a455c393,4,Muy lento,2023-10-30T00:00:00
d6ccd608-7185-44c6-8f13-026977697ec3,bcbb1873-233e-4d6f-83f7-856db5e262b4,5673f809-d640-4bda-8aec-f77b8fa5e2de,81ff2b58-3d4f-404a-9e57-ba193354cc3f,3,Muy lento,2024-11-13T00:00:00
2521b657-f2f1-416b-a5ae-125eb67c5005,37834091-1a84-4cdc-893d-8d03a2f7eb16,5673f809-d640-4bda-8aec-f77b8fa5e2de,52b0ba0c-8b94-48f4-97d5-55450de4da3c,4,No me gustó,2023-10-02T00:00:00
3efde81d-0464-4957-ae1c-972189435600,82c7bfae-0e4a-4279-abaa-43275586bb5c,71d79bb9-5a38-4edd-ab64-84d23a4e38f7,44d058d3-a22c-4e79-814e-ad79ea1bad24,3,No me gustó,2024-08-12T00:00:00
63cfb98f-b258-4e47-9f38-eaa6372c0b3e,f4bfe9c9-5d34-4e57-9d66-d2834092a9d8,71d79bb9-5a38-4edd-ab64-84d23a4e38f7,5dc8411c-6a70-49ea-ac65-ced1d1aed488,5,No me gustó,2023-02-20T00:00:00
84dad894-c979-4f45-9429-31dc272c269f,c8e396ec-51d5-4d05-afd8-0e7b9737ed75,62dd6542-0044-4059-aa8b-b7bf6f017224,029a6b3d-348d-4fa9-b060-e0ae8053d854,3,No me gustó,2023-01-08T00:00:00
4acfb6c9-58c7-4b5b-a43a-3289f5f767c8,07edcc38-e33a-49de-b1d2-e64e7b27f5ca,62dd6542-0044-4059-aa8b-b7bf6f017224,c5b15a64-e747-4625-983f-e067d005af94,2,Muy lento,2024-08-18T00:00:00
88ab4c27-5d4c-4d83-9a80-d82001922c82,9a555d8e-224c-4000-bea1-3ac11a1cffc2,9cfc7b51-e39b-4539-94ca-a22ad0b0413b,b63f8f7a-b911-4b8f-a446-faa0d8a0467d,2,No me gustó,2024-05-05T00:00:00
a7ef572b-77e3-4870-be67-471841275c72,c9ccd840-970a-41aa-8cc1-c34dd43b517c,7667ad23-fb02-4180-b065-00770e940cea,ba8e3b85-163d-4e97-a2b4-e43e018f88e6,3,Excelente servicio,2023-12-27T00:00:00
71a162c6-1b7f-4d76-aba2-2311f52b7577,35571f98-83df-4bce-80da-e13b066a7c77,5673f809-d640-4bda-8aec-f77b8fa5e2de,bbbdfc66-41e8-499e-b938-996533550e9b,1,Excelente servicio,2023-02-18T00:00:00
2894f489-05df-49ed-91c0-76f00a575a90,3abdf5cf-ea19-4a76-8e54-3e108b54889a,7a14cb60-360e-411d-8124-2587403d99bc,122e4933-45de-4579-9b13-cfea4fd5efe6,5,Comida deliciosa,2024-06-21T00:00:00
ec3758ba-435d-4c97-8ad4-7ebbb1ee05a5,c9ccd840-970a-41aa-8cc1-c34dd43b517c,5673f809-d640-4bda-8aec-f77b8fa5e2de,1a710fb5-0593-445e-8605-5318a3371d15,5,Excelente servicio,2024-09-18T00:00:00
84802490-0a34-4a48-ad52-5be60608367b,c9ccd840-970a-41aa-8cc1-c34dd43b517c,78192632-d7f9-4f7d-a314-88e46bfa847a,ca4acfd5-57a2-4979-b004-f8c3a2a9ddb1,4,Muy lento,2023-04-03T00:00:00
077c46c0-5b40-40eb-b652-b50df15aced9,ec7256b3-8430-4c13-9999-ae3e5afd72da,9cfc7b51-e39b-4539-94ca-a22ad0b0413b,4bedc5c3-0828-4d41-ba31-8561a5e4d8c5,5,Comida deliciosa,2024-02-21T00:00:00
ccdd44f2-d6ca-4905-82c1-35db858b4834,82c7bfae-0e4a-4279-abaa-43275586bb5c,5673f809-d640-4bda-8aec-f77b8fa5e2de,e4315363-2e51-460e-857b-5c5abaa6688a,5,Excelente servicio,2023-06-02T00:00:00
1cb96e74-1dfc-4125-a238-e05e945e0dbe,49b3acb7-3938-45bb-acbc-c6274374c120,5673f809-d640-4bda-8aec-f77b8fa5e2de,d9729a83-ba0e-40c1-bd7e-9f9041560011,1,Comida deliciosa,2024-12-11T00:00:00
187c3253-ad29-4950-af0a-760e33ad7d38,7c5d4ddb-8bb8-4721-8acf-f060d0b84c73,78192632-d7f9-4f7d-a314-88e46bfa847a,351e2a34-a3b1-49c6-9472-6712527ffdbb,3,Excelente servicio,2023-03-28T00:00:00
9ba370d1-2436-48ef-923e-3b78f36a4285,c9ccd840-970a-41aa-8cc1-c34dd43b517c,4cbd5b69-173b-434b-b4a3-7f55681c8621,63cf4404-eba5-4078-8886-b3ad30cebd10,1,No me gustó,2023-02-13T00:00:00
30aed60d-69ad-41cd-a954-f24528a74ccd,82c7bfae-0e4a-4279-abaa-43275586bb5c,71d79bb9-5a38-4edd-ab64-84d23a4e38f7,d9e87be6-2378-4a88-b451-87239dc01a81,3,Excelente servicio,2023-07-19T00:00:00
afefc8fb-063e-4c56-b60e-0f60efd7685b,4871fa34-de69-45fd-8035-b73fdead55f6,4cbd5b69-173b-434b-b4a3-7f55681c8621,a4eb122e-812f-4e45-9cf6-6dd102f9e778,5,Excelente servicio,2023-07-14T00:00:00
80c99861-4dd3-4df8-8fc7-0e119df912d1,c9ccd840-970a-41aa-8cc1-c34dd43b517c,9cfc7b51-e39b-4539-94ca-a22ad0b0413b,6182da38-9bf3-4af6-a2ea-40747beea08f,3,Muy lento,2024-03-30T00:00:00
e1560d82-114c-43c3-ab31-13128d4e0c92,bcbb1873-233e-4d6f-83f7-856db5e262b4,62dd6542-0044-4059-aa8b-b7bf6f017224,b97255f2-9e57-407c-a142-f538b9da9fa2,4,No me gustó,2023-03-23T00:00:00
