_id,nombre,direccion,ubicacion,especialidades,imagenes
1e28c03d-1130-4fcc-bd9e-f4bdcd4f67da,Restaurante 1,"Calle 1, Ciudad","-63.83162739306594, 55.115600029070976",saludable,"6344e451-fcfa-46ac-addd-9593bd833ded, 2b3da087-507f-43d9-9708-97efd7bfc90e"
3738412c-9d22-4b76-a8f2-4a50a5f82e02,Restaurante 2,"Calle 2, Ciudad","-75.33470270704936, 175.746746224295",china,"e540992a-af48-49a2-ad33-110fe0c23ef2, 923a3799-4a0e-4632-8bd1-4e341c0d463c, 784de4c0-e0eb-47d5-b876-87da99d1ff34"
3b0ddef6-005b-4ebd-b9b5-75242bca19fc,Restaurante 3,"Calle 3, Ciudad","7.625904389530817, -159.71556076780564",rápida,"5f0a61bb-e40f-4ad8-b80f-e65fac79b618, 0caae223-0697-4bde-9f85-e293aee92982"
22f9e9ce-9b29-4c59-b668-bd5d1111bef0,Restaurante 4,"Calle 4, Ciudad","-29.190041765745704, -121.16626845785376","italiana, vegana","4b04c6bd-c52e-4550-aae6-91a35d9d638d, 293c4a39-1705-4d18-8ae8-8b233deb980a"
64e70b19-352a-4d08-9e6a-249baec89cfa,Restaurante 5,"Calle 5, Ciudad","-79.05168243233216, -172.89746134649755",rápida,5bb685e6-6877-4285-919b-89635f276f3a
13b58a4d-54e2-4132-b35c-d069f115c848,Restaurante 6,"Calle 6, Ciudad","84.09915373691726, 80.04342111506452",china,"c11e73dc-61a0-48ba-b8cf-fc09c3c8625f, 70b6a223-fde2-4d5c-a541-71231a113236"
c770db2c-1dd3-44be-b86e-355b7f51a8b7,Restaurante 7,"Calle 7, Ciudad","-88.23369310810833, -41.96852170280317",china,"a7f26828-56ad-45de-899d-4b4f60c5d480, d9baabfe-1188-4a9c-a8c0-1ae9aad1af75, ed3ef974-df5f-4d68-8211-c3640935f3da"
e795e0fe-b9a2-4ce4-b735-9d6992fe1b3e,Restaurante 8,"Calle 8, Ciudad","-72.05133978440665, -97.86926712090332",saludable,7bd2eaf4-b908-4165-9a02-0c087d822015
f3622cae-f794-41b3-b176-4367aba2df3f,Restaurante 9,"Calle 9, Ciudad","73.54633564831491, 148.05080326507658",rápida,"5dde0cc4-e435-43e2-a544-cf770ba7af85, 3c4639bc-7412-4ac5-a5e5-0b4d7ab0de6e"
650b0871-2e2a-4a19-ae1e-e543c56f7cc5,Restaurante 10,"Calle 10, Ciudad","-18.26127515669485, -100.6096953978955","italiana, vegana","950e31a9-869b-4325-a5d1-60e45afa0ed1, f8e465c5-5ccf-4dae-87a9-3a799b04b578"
